[T:1147754] LOCAL | ACC: 0.0031 0.0053 -0.0600 | GYR: 0.3401 1.7854 -0.0905
[T:1167787] LOCAL | ACC: 0.0034 0.0051 -0.0599 | GYR: 0.3706 1.7483 -0.0896
[T:1187820] LOCAL | ACC: 0.0034 0.0048 -0.0600 | GYR: 0.3582 1.7302 -0.0762
[T:1207857] LOCAL | ACC: 0.0033 0.0049 -0.0604 | GYR: 0.3478 1.6625 -0.1000
[T:1227890] LOCAL | ACC: 0.0033 0.0049 -0.0605 | GYR: 0.3687 1.7950 -0.0534
[T:1247923] LOCAL | ACC: 0.0036 0.0049 -0.0601 | GYR: 0.3392 1.7559 -0.0810
[T:1267957] LOCAL | ACC: 0.0035 0.0049 -0.0603 | GYR: 0.3506 1.7702 -0.0772
[T:1287990] LOCAL | ACC: 0.0033 0.0048 -0.0603 | GYR: 0.3544 1.7578 -0.1000
[T:1308023] LOCAL | ACC: 0.0035 0.0049 -0.0603 | GYR: 0.3573 1.7654 -0.0810
[T:1328056] LOCAL | ACC: 0.0035 0.0049 -0.0601 | GYR: 0.3268 1.7692 -0.0753
[T:1348094] LOCAL | ACC: 0.0036 0.0052 -0.0602 | GYR: 0.3678 1.7416 -0.0610
[T:1368127] LOCAL | ACC: 0.0034 0.0049 -0.0603 | GYR: 0.3535 1.7778 -0.1058
[T:1388160] LOCAL | ACC: 0.0032 0.0049 -0.0601 | GYR: 0.3354 1.7111 -0.0696
[T:1408193] LOCAL | ACC: 0.0030 0.0050 -0.0602 | GYR: 0.3830 1.7502 -0.0591
[T:1428226] LOCAL | ACC: 0.0031 0.0049 -0.0613 | GYR: 0.3830 1.7797 -0.0819
[T:1448259] LOCAL | ACC: 0.0034 0.0049 -0.0602 | GYR: 0.3458 1.7550 -0.0962
[T:1468296] LOCAL | ACC: 0.0033 0.0049 -0.0600 | GYR: 0.3611 1.7616 -0.0838
[T:1488329] LOCAL | ACC: 0.0032 0.0052 -0.0600 | GYR: 0.3601 1.7712 -0.0962
[T:1508374] LOCAL | ACC: 0.0033 0.0051 -0.0603 | GYR: 0.3382 1.7721 -0.0572
[T:1528407] LOCAL | ACC: 0.0034 0.0049 -0.0604 | GYR: 0.3525 1.7607 -0.0886
[T:1548440] LOCAL | ACC: 0.0035 0.0050 -0.0601 | GYR: 0.3268 1.7712 -0.0610
[T:1568474] LOCAL | ACC: 0.0034 0.0050 -0.0601 | GYR: 0.3801 1.7121 -0.0829
[T:1588507] LOCAL | ACC: 0.0033 0.0050 -0.0601 | GYR: 0.3687 1.7245 -0.0791
[T:1608545] LOCAL | ACC: 0.0034 0.0050 -0.0603 | GYR: 0.3077 1.7388 -0.0629
[T:1628579] LOCAL | ACC: 0.0034 0.0054 -0.0602 | GYR: 0.3373 1.7835 -0.0838
[T:1648612] LOCAL | ACC: 0.0033 0.0050 -0.0602 | GYR: 0.3763 1.8083 -0.1000
[T:1668646] LOCAL | ACC: 0.0032 0.0050 -0.0605 | GYR: 0.3363 1.7721 -0.0381
[T:1688680] LOCAL | ACC: 0.0034 0.0049 -0.0601 | GYR: 0.3582 1.7330 -0.0648
[T:1708714] LOCAL | ACC: 0.0033 0.0050 -0.0601 | GYR: 0.3535 1.7445 -0.0648
[T:1728751] LOCAL | ACC: 0.0034 0.0049 -0.0600 | GYR: 0.3354 1.7340 -0.0534
[T:1748785] LOCAL | ACC: 0.0036 0.0050 -0.0603 | GYR: 0.3544 1.7854 -0.0333
[T:1768819] LOCAL | ACC: 0.0033 0.0050 -0.0603 | GYR: 0.3382 1.7769 -0.1067
[T:1788852] LOCAL | ACC: 0.0032 0.0050 -0.0601 | GYR: 0.3897 1.7969 -0.1267
[T:1808886] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.3639 1.7530 -0.0877
[T:1828919] LOCAL | ACC: 0.0031 0.0050 -0.0601 | GYR: 0.3335 1.7416 -0.0962
[T:1848968] LOCAL | ACC: 0.0033 0.0049 -0.0600 | GYR: 0.3592 1.7569 -0.0724
[T:1869005] LOCAL | ACC: 0.0033 0.0049 -0.0603 | GYR: 0.3773 1.7750 -0.1058
[T:1889038] LOCAL | ACC: 0.0031 0.0050 -0.0601 | GYR: 0.3363 1.7969 -0.0838
[T:1909072] LOCAL | ACC: 0.0034 0.0050 -0.0603 | GYR: 0.3554 1.7635 -0.1162
[T:1929105] LOCAL | ACC: 0.0033 0.0050 -0.0602 | GYR: 0.3954 1.7588 -0.0486
[T:1949138] LOCAL | ACC: 0.0034 0.0050 -0.0602 | GYR: 0.3554 1.7702 -0.0724
[T:1969171] LOCAL | ACC: 0.0032 0.0050 -0.0602 | GYR: 0.3420 1.7168 -0.0829
[T:1989204] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.3478 1.7807 -0.0934
[T:2009252] LOCAL | ACC: 0.0035 0.0049 -0.0608 | GYR: 0.2630 1.7216 -0.0410
[T:2029285] LOCAL | ACC: 0.0032 0.0051 -0.0603 | GYR: 0.3306 1.7683 -0.0581
[T:2049318] LOCAL | ACC: 0.0031 0.0054 -0.0602 | GYR: 0.2639 1.7416 -0.1153
[T:2069352] LOCAL | ACC: 0.0031 0.0050 -0.0603 | GYR: 0.2934 1.7654 -0.1248
[T:2089385] LOCAL | ACC: 0.0029 0.0050 -0.0601 | GYR: 0.3449 1.6835 -0.0791
[T:2109420] LOCAL | ACC: 0.0032 0.0050 -0.0602 | GYR: 0.3373 1.7197 -0.1286
[T:2129457] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.1162 1.8931 -0.1019
[T:2149490] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.0867 1.8626 -0.1124
[T:2169524] LOCAL | ACC: 0.0036 0.0050 -0.0605 | GYR: 0.1105 1.9312 -0.0619
[T:2189557] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.1134 1.8769 -0.0896
[T:2209603] LOCAL | ACC: 0.0033 0.0049 -0.0602 | GYR: 0.1029 1.9160 -0.0715
[T:2229636] LOCAL | ACC: 0.0037 0.0050 -0.0601 | GYR: 0.1019 1.8559 -0.0848
[T:2249670] LOCAL | ACC: 0.0033 0.0050 -0.0600 | GYR: 0.1115 1.8979 -0.0867
[T:25009] LOCAL | ACC: 0.0036 0.0051 -0.0605 | GYR: 0.1562 1.8921 -0.0686
[T:45070] LOCAL | ACC: 0.0034 0.0052 -0.0605 | GYR: 0.1162 1.8712 -0.0572
