[2026-04-07 22:07:46] LOCAL | ACC: 0.0022 0.0049 -0.0602 | GYR: 0.4287 1.7416 -0.0638
[2026-04-07 22:08:06] LOCAL | ACC: 0.0021 0.0049 -0.0604 | GYR: 0.4325 1.6721 -0.1267
[2026-04-07 22:08:26] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.4097 1.6864 -0.0886
[2026-04-07 22:08:46] LOCAL | ACC: 0.0023 0.0048 -0.0604 | GYR: 0.3963 1.6987 -0.1200
[2026-04-07 22:09:06] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.3782 1.7140 -0.0829
[2026-04-07 22:09:26] LOCAL | ACC: 0.0021 0.0055 -0.0616 | GYR: 0.4735 1.7264 -0.0534
[2026-04-07 22:09:46] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.4163 1.7864 -0.1248
[2026-04-07 22:10:06] LOCAL | ACC: 0.0022 0.0049 -0.0600 | GYR: 0.4316 1.7130 -0.0772
[2026-04-07 22:10:27] LOCAL | ACC: 0.0019 0.0048 -0.0602 | GYR: 0.3916 1.7330 -0.0867
[2026-04-07 22:10:47] LOCAL | ACC: 0.0022 0.0049 -0.0604 | GYR: 0.4154 1.7188 -0.0696
[2026-04-07 22:11:07] LOCAL | ACC: 0.0023 0.0048 -0.0602 | GYR: 0.3982 1.7197 -0.1220
[2026-04-07 22:11:27] LOCAL | ACC: 0.0021 0.0048 -0.0602 | GYR: 0.4116 1.6597 -0.0791
[2026-04-07 22:11:47] LOCAL | ACC: 0.0022 0.0048 -0.0604 | GYR: 0.4154 1.7597 -0.0867
[2026-04-07 22:12:07] LOCAL | ACC: 0.0020 0.0048 -0.0608 | GYR: 0.4021 1.7302 -0.0686
[2026-04-07 22:12:27] LOCAL | ACC: 0.0022 0.0048 -0.0605 | GYR: 0.4535 1.6416 -0.0629
[2026-04-07 22:06:07] LOCAL | ACC: 0.0021 0.0049 -0.0602 | GYR: 0.3049 1.7388 -0.1038
[2026-04-07 22:06:27] LOCAL | ACC: 0.0019 0.0050 -0.0603 | GYR: 0.3077 1.6987 -0.0848
[2026-04-07 22:06:47] LOCAL | ACC: 0.0019 0.0050 -0.0600 | GYR: 0.3344 1.7797 -0.0400
[2026-04-07 22:07:07] LOCAL | ACC: 0.0021 0.0050 -0.0601 | GYR: 0.3582 1.7578 -0.0734
[2026-04-07 22:07:27] LOCAL | ACC: 0.0022 0.0049 -0.0603 | GYR: 0.3068 1.7550 -0.0753
[2026-04-07 22:07:47] LOCAL | ACC: 0.0020 0.0049 -0.0605 | GYR: 0.3563 1.7426 -0.1172
[2026-04-07 22:08:07] LOCAL | ACC: 0.0022 0.0049 -0.0602 | GYR: 0.3392 1.7302 -0.0514
[2026-04-07 22:08:28] LOCAL | ACC: 0.0018 0.0049 -0.0601 | GYR: 0.3973 1.7188 -0.0829
[2026-04-07 22:08:48] LOCAL | ACC: 0.0020 0.0049 -0.0601 | GYR: 0.3468 1.7264 -0.0772
[2026-04-07 22:09:08] LOCAL | ACC: 0.0021 0.0049 -0.0600 | GYR: 0.3468 1.7149 -0.1086
[2026-04-07 22:09:28] LOCAL | ACC: 0.0019 0.0049 -0.0601 | GYR: 0.3230 1.7521 -0.1048
[2026-04-07 22:09:48] LOCAL | ACC: 0.0020 0.0049 -0.0603 | GYR: 0.3449 1.7349 -0.0743
[2026-04-07 22:10:08] LOCAL | ACC: -0.0040 0.0063 -0.0602 | GYR: -0.2058 2.8601 -6.5587
